"","x"
"743","PF01535.24"
"744","PF01541.28"
"745","PF01544.22"
"746","PF01545.25"
"747","PF01546.32"
"748","PF01547.29"
"749","PF01548.21"
"750","PF01551.26"
"751","PF01553.25"
"752","PF01554.22"
"753","PF01555.22"
"754","PF01556.22"
"755","PF01557.22"
"756","PF01558.22"
"757","PF01564.21"
"758","PF01565.27"
"759","PF01566.22"
"760","PF01568.25"
"761","PF01569.25"
"762","PF01571.25"
"763","PF01575.23"
"764","PF01578.24"
"765","PF01580.22"
"766","PF01582.24"
"767","PF01583.24"
"768","PF01584.23"
"769","PF01588.24"
"770","PF01590.30"
"771","PF01592.20"
"772","PF01593.28"
"773","PF01594.20"
"774","PF01595.24"
"775","PF01596.21"
"776","PF01597.23"
"777","PF01609.25"
"778","PF01610.21"
"779","PF01612.24"
"780","PF01613.22"
"781","PF01614.22"
"782","PF01618.20"
"783","PF01619.22"
"784","PF01624.24"
"785","PF01625.25"
"786","PF01627.27"
"787","PF01628.25"
"788","PF01632.23"
"789","PF01633.24"
"790","PF01634.22"
"791","PF01636.27"
"792","PF01637.22"
"793","PF01638.21"
"794","PF01641.22"
"795","PF01642.26"
"796","PF01643.21"
"797","PF01645.21"
"798","PF01648.24"
"799","PF01649.22"
"800","PF01653.22"
"801","PF01654.21"
"802","PF01656.27"
"803","PF01658.21"
"804","PF01661.25"
"805","PF01663.26"
"806","PF01668.22"
"807","PF01674.22"
"808","PF01676.22"
"809","PF01678.23"
"810","PF01679.21"
"811","PF01680.21"
"812","PF01687.21"
"813","PF01694.26"
"814","PF01695.21"
"815","PF01699.28"
"816","PF01701.22"
"817","PF01702.22"
"818","PF01704.22"
"819","PF01706.20"
"820","PF01709.24"
"821","PF01712.23"
"822","PF01713.25"
"823","PF01715.21"
"824","PF01716.22"
"825","PF01717.22"
"826","PF01722.22"
"827","PF01724.20"
"828","PF01725.20"
"829","PF01726.20"
"830","PF01728.23"
"831","PF01729.23"
"832","PF01730.20"
"833","PF01731.24"
"834","PF01734.26"
"835","PF01737.21"
"836","PF01738.22"
"837","PF01739.22"
"838","PF01740.25"
"839","PF01741.22"
"840","PF01743.24"
"841","PF01744.24"
"842","PF01745.20"
"843","PF01746.25"
"844","PF01747.21"
"845","PF01751.26"
"846","PF01755.21"
"847","PF01757.26"
"848","PF01758.20"
"849","PF01761.24"
"850","PF01764.29"
"851","PF01765.23"
"852","PF01769.20"
"853","PF01773.24"
"854","PF01774.21"
"855","PF01782.22"
"856","PF01783.27"
"857","PF01784.22"
"858","PF01788.21"
"859","PF01789.20"
"860","PF01790.22"
"861","PF01791.13"
"862","PF01794.23"
"863","PF01795.23"
"864","PF01796.21"
"865","PF01797.20"
"866","PF01799.24"
"867","PF01804.22"
"868","PF01807.24"
"869","PF01808.22"
"870","PF01809.22"
"871","PF01810.22"
"872","PF01812.24"
"873","PF01814.27"
"874","PF01817.25"
"875","PF01820.25"
"876","PF01832.24"
"877","PF01835.23"
"878","PF01839.27"
"879","PF01841.23"
"880","PF01842.29"
"881","PF01844.27"
"882","PF01845.21"
"883","PF01847.20"
"884","PF01850.25"
"885","PF01855.23"
"886","PF01863.21"
"887","PF01864.21"
"888","PF01865.20"
"889","PF01867.20"
"890","PF01869.24"
"891","PF01872.21"
"892","PF01874.20"
"893","PF01875.21"
"894","PF01878.22"
"895","PF01882.22"
"896","PF01883.23"
"897","PF01887.20"
"898","PF01888.21"
"899","PF01890.20"
"900","PF01891.20"
"901","PF01894.21"
"902","PF01895.23"
"903","PF01903.21"
"904","PF01906.21"
"905","PF01909.27"
"906","PF01913.22"
"907","PF01914.21"
"908","PF01915.26"
"909","PF01916.21"
"910","PF01921.22"
"911","PF01923.22"
"912","PF01924.20"
"913","PF01925.23"
"914","PF01926.27"
"915","PF01928.25"
"916","PF01930.21"
"917","PF01933.22"
"918","PF01934.21"
"919","PF01935.21"
"920","PF01936.22"
"921","PF01938.24"
"922","PF01940.20"
"923","PF01943.21"
"924","PF01944.21"
"925","PF01946.21"
"926","PF01947.20"
"927","PF01954.20"
"928","PF01957.22"
"929","PF01958.22"
"930","PF01960.22"
"931","PF01963.21"
"932","PF01964.22"
"933","PF01965.28"
"934","PF01966.26"
"935","PF01967.25"
"936","PF01968.22"
"937","PF01969.21"
"938","PF01970.20"
"939","PF01972.20"
"940","PF01975.21"
"941","PF01976.21"
"942","PF01977.20"
"943","PF01978.23"
"944","PF01979.24"
"945","PF01983.20"
"946","PF01985.25"
"947","PF01987.21"
"948","PF01988.23"
"949","PF01989.20"
"950","PF01996.20"
"951","PF02002.21"
"952","PF02005.20"
"953","PF02012.24"
"954","PF02016.19"
"955","PF02018.21"
"956","PF02021.21"
"957","PF02033.22"
"958","PF02036.21"
"959","PF02040.19"
"960","PF02049.22"
"961","PF02050.20"
"962","PF02065.22"
"963","PF02074.19"
"964","PF02075.21"
"965","PF02080.25"
"966","PF02082.24"
"967","PF02085.20"
"968","PF02086.19"
"969","PF02089.19"
"970","PF02091.19"
"971","PF02092.21"
"972","PF02096.24"
"973","PF02104.19"
"974","PF02107.20"
"975","PF02108.20"
"976","PF02110.19"
"977","PF02113.19"
"978","PF02119.20"
"979","PF02120.20"
"980","PF02126.22"
"981","PF02127.19"
"982","PF02129.22"
"983","PF02130.21"
"984","PF02132.19"
"985","PF02133.19"
"986","PF02136.24"
"987","PF02142.26"
"988","PF02146.21"
"989","PF02151.23"
"990","PF02152.22"
"991","PF02153.21"
"992","PF02154.19"
"993","PF02163.26"
"994","PF02167.19"
"995","PF02169.20"
"996","PF02190.20"
"997","PF02195.22"
"998","PF02201.22"
"999","PF02210.28"
